,City,Year,Sport,Discipline,Event,Athlete,Gender,Country_Code,Country,Event_gender,Medal
0,Montreal,1976.0,Aquatics,Diving,3m springboard,"KÖHLER, Christa",Women,GDR,East Germany,W,Silver
1,Montreal,1976.0,Aquatics,Diving,3m springboard,"KOSENKOV, Aleksandr",Men,URS,Soviet Union,M,Bronze
2,Montreal,1976.0,Aquatics,Diving,3m springboard,"BOGGS, Philip George",Men,USA,United States,M,Gold
3,Montreal,1976.0,Aquatics,Diving,3m springboard,"CAGNOTTO, Giorgio Franco",Men,ITA,Italy,M,Silver
4,Montreal,1976.0,Aquatics,Diving,10m platform,"WILSON, Deborah Keplar",Women,USA,United States,W,Bronze
5,Montreal,1976.0,Aquatics,Diving,10m platform,"LOUGANIS, Gregory",Men,USA,United States,M,Silver
6,Montreal,1976.0,Aquatics,Diving,10m platform,"VAYTSEKHOVSKAYA, Elena",Women,URS,Soviet Union,W,Gold
7,Montreal,1976.0,Aquatics,Diving,3m springboard,"POTTER-MCINGVALE, Cynthia",Women,USA,United States,W,Bronze
8,Montreal,1976.0,Aquatics,Diving,10m platform,"DIBIASI, Klaus",Men,ITA,Italy,M,Gold
9,Montreal,1976.0,Aquatics,Diving,10m platform,"ALEINIK, Vladimir",Men,URS,Soviet Union,M,Bronze
10,Montreal,1976.0,Aquatics,Diving,10m platform,"KNAPE-LINDBERGH, Ulrika",Women,SWE,Sweden,W,Silver
11,Montreal,1976.0,Aquatics,Diving,3m springboard,"CHANDLER, Jennifer Kay",Women,USA,United States,W,Gold
12,Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Gold
13,Montreal,1976.0,Aquatics,Swimming,400m freestyle,"SHAW, Timothy Andrew",Men,USA,United States,M,Silver
14,Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"PRIEMER, Petra",Women,GDR,East Germany,W,Silver
15,Montreal,1976.0,Aquatics,Swimming,1500m freestyle,"HOLLAND, Stephen",Men,AUS,Australia,M,Bronze
16,Montreal,1976.0,Aquatics,Swimming,400m individual medley,"SMIRNOV, Andrei",Men,URS,Soviet Union,M,Bronze
17,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"ANKE, Hannelore",Women,GDR,East Germany,W,Gold
18,Montreal,1976.0,Aquatics,Swimming,800m freestyle,"BABASHOFF, Shirley Farber",Women,USA,United States,W,Silver
19,Montreal,1976.0,Aquatics,Swimming,800m freestyle,"THÜMER, Petra",Women,GDR,East Germany,W,Gold
20,Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"SMITH, Rebecca",Women,CAN,Canada,W,Bronze
21,Montreal,1976.0,Aquatics,Swimming,200m backstroke,"ROCCA, Peter Drake",Men,USA,United States,M,Silver
22,Montreal,1976.0,Aquatics,Swimming,400m freestyle,"GOODELL, Brian Stuart",Men,USA,United States,M,Gold
23,Montreal,1976.0,Aquatics,Swimming,400m individual medley,"MCKEE, Alexander Timothy",Men,USA,United States,M,Silver
24,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"EVANS, Clayton",Men,CAN,Canada,M,Silver
25,Montreal,1976.0,Aquatics,Swimming,200m freestyle,"MONTGOMERY, James Paul",Men,USA,United States,M,Bronze
26,Montreal,1976.0,Aquatics,Swimming,100m butterfly,"VOGEL, Matthew Haynes",Men,USA,United States,M,Gold
27,Montreal,1976.0,Aquatics,Swimming,100m backstroke,"MATTHES, Roland",Men,GDR,East Germany,M,Bronze
28,Montreal,1976.0,Aquatics,Swimming,100m backstroke,"NABER, John Phillips",Men,USA,United States,M,Gold
29,Montreal,1976.0,Aquatics,Swimming,100m backstroke,"ROCCA, Peter Drake",Men,USA,United States,M,Silver
30,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"KRAUS, Michael",Men,FRG,West Germany,M,Bronze
31,Montreal,1976.0,Aquatics,Swimming,200m freestyle,"BRIGITHA, Enith",Women,NED,Netherlands,W,Bronze
32,Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"DUNNE, David Michael",Men,GBR,United Kingdom,M,Bronze
33,Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"NABER, John Phillips",Men,USA,United States,M,Gold
34,Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"HEMPEL, Claudia",Women,GDR,East Germany,W,Silver
35,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"MAC DONALD, Gary",Men,CAN,Canada,M,Silver
36,Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"BOGDANOV, Andrei",Men,URS,Soviet Union,M,Silver
37,Montreal,1976.0,Aquatics,Swimming,100m butterfly,"HALL, Gary Wayne",Men,USA,United States,M,Bronze
38,Montreal,1976.0,Aquatics,Swimming,400m individual medley,"SMITH, Rebecca",Women,CAN,Canada,W,Bronze
39,Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"KOSHEVAYA, Marina",Women,URS,Soviet Union,W,Gold
40,Montreal,1976.0,Aquatics,Swimming,200m backstroke,"GARAPICK, Nancy Ellen",Women,CAN,Canada,W,Bronze
41,Montreal,1976.0,Aquatics,Swimming,800m freestyle,"WEINBERG, Wendy Elizabeth",Women,USA,United States,W,Bronze
42,Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold
43,Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"RASKATOV, Vladimir",Men,URS,Soviet Union,M,Silver
44,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
45,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"JARDIN, Anne Elizabeth",Women,CAN,Canada,W,Bronze
46,Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"YOZAITIS, Arvidas",Men,URS,Soviet Union,M,Bronze
47,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"WRIGHT, Camille",Women,USA,United States,W,Silver
48,Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"KRYLOV, Andrei",Men,URS,Soviet Union,M,Silver
49,Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"DOWNIE, Gordon Hunter",Men,GBR,United Kingdom,M,Bronze
50,Montreal,1976.0,Aquatics,Swimming,200m breaststroke,"WILKIE, David Andrew",Men,GBR,United Kingdom,M,Gold
51,Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"PEYTON, Kim Marie",Women,USA,United States,W,Gold
52,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"MONTGOMERY, James Paul",Men,USA,United States,M,Gold
53,Montreal,1976.0,Aquatics,Swimming,200m butterfly,"TAUBER, Ulrike",Women,GDR,East Germany,W,Silver
54,Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"CLARK, Barbara Lynny",Women,CAN,Canada,W,Bronze
55,Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"AMUNDRUD, Gail",Women,CAN,Canada,W,Bronze
56,Montreal,1976.0,Aquatics,Swimming,100m butterfly,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
57,Montreal,1976.0,Aquatics,Swimming,200m butterfly,"BRUNER, Michael Lee",Men,USA,United States,M,Gold
58,Montreal,1976.0,Aquatics,Swimming,400m individual medley,"GIBSON, Cheryl",Women,CAN,Canada,W,Silver
59,Montreal,1976.0,Aquatics,Swimming,200m backstroke,"NABER, John Phillips",Men,USA,United States,M,Gold
60,Montreal,1976.0,Aquatics,Swimming,200m freestyle,"ENDER, Kornelia",Women,GDR,East Germany,W,Gold
61,Montreal,1976.0,Aquatics,Swimming,100m butterfly,"BOGLIOLI, Wendy Lansbach",Women,USA,United States,W,Bronze
62,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"SMITH, Graham",Men,CAN,Canada,M,Silver
63,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"VOGEL, Matthew Haynes",Men,USA,United States,M,Gold
64,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"SMITH-SLOAN, Susan Estelle",Women,CAN,Canada,W,Bronze
65,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"COOK-HOGG, Wendy",Women,CAN,Canada,W,Bronze
66,Montreal,1976.0,Aquatics,Swimming,100m butterfly,"POLLACK, Andrea",Women,GDR,East Germany,W,Silver
67,Montreal,1976.0,Aquatics,Swimming,100m butterfly,"BOTTOM, Joseph Stuart",Men,USA,United States,M,Silver
68,Montreal,1976.0,Aquatics,Swimming,400m freestyle,"THÜMER, Petra",Women,GDR,East Germany,W,Gold
69,Montreal,1976.0,Aquatics,Swimming,4x100m medley relay,"RICHTER, Ulrike",Women,GDR,East Germany,W,Gold
70,Montreal,1976.0,Aquatics,Swimming,200m freestyle,"FURNISS, Bruce Macfarlane",Men,USA,United States,M,Gold
71,Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"KOSHEVAYA, Marina",Women,URS,Soviet Union,W,Bronze
72,Montreal,1976.0,Aquatics,Swimming,200m butterfly,"GREGG, Steven Garrett",Men,USA,United States,M,Silver
73,Montreal,1976.0,Aquatics,Swimming,4x100m freestyle relay,"ENDER, Kornelia",Women,GDR,East Germany,W,Silver
74,Montreal,1976.0,Aquatics,Swimming,4x200m freestyle relay,"MCCLATCHEY, Alan",Men,GBR,United Kingdom,M,Bronze
75,Montreal,1976.0,Aquatics,Swimming,100m breaststroke,"RUSANOVA, Lyubov",Women,URS,Soviet Union,W,Silver
76,Montreal,1976.0,Aquatics,Swimming,400m individual medley,"STRACHAN, Rodney",Men,USA,United States,M,Gold
77,Montreal,1976.0,Aquatics,Swimming,400m freestyle,"RASKATOV, Vladimir",Men,URS,Soviet Union,M,Bronze
78,Montreal,1976.0,Aquatics,Swimming,400m individual medley,"TAUBER, Ulrike",Women,GDR,East Germany,W,Gold
